pos_x, pos_y, pos_theta, stamp, 
-1.999942008312594, -0.5000009938726009, 8.125765199739673e-07, 9418000000, 
-1.999942060889153, -0.5000009938802117, 8.145550143029126e-07, 9520000000, 
-1.9999420753456276, -0.5000009938670967, 8.161250966751878e-07, 9588000000, 
-1.9999420314835612, -0.5000009937773733, 8.190958664077006e-07, 9690000000, 
-1.9999420003421837, -0.5000009938364653, 8.219239633088579e-07, 9792000000, 
-1.9999420360207463, -0.5000009938275822, 8.240948906862933e-07, 9894000000, 
-1.9999420193256596, -0.5000009938553601, 8.26791747642473e-07, 9996000000, 
-1.999941978050908, -0.5000009938772931, 8.28920870847388e-07, 10064000000, 
-1.9999420052561667, -0.5000009938440634, 8.311404624922129e-07, 10166000000, 
-1.999941989699874, -0.5000009938781675, 8.338338648453767e-07, 10268000000, 
-1.9999419729091366, -0.5000009939169485, 8.3656346248128e-07, 10370000000, 
-1.9999420013524636, -0.5000009938813531, 8.379562571436794e-07, 10438000000, 
-1.9999419867180561, -0.5000009939176858, 8.406273737253624e-07, 10540000000, 
-1.9999419468110102, -0.5000009939443851, 8.427453765564789e-07, 10608000000, 
-1.9999419760442148, -0.5000009939170119, 8.449498221026813e-07, 10710000000, 
-1.9999419624893462, -0.5000009939555528, 8.47625679987174e-07, 10812000000, 
-1.9999419409297403, -0.500000993993069, 8.495821926089374e-07, 10880000000, 
-1.9999419615288556, -0.5000009939978594, 8.510001089530491e-07, 10948000000, 
-1.9999419687697786, -0.5000009940112834, 8.534553958706941e-07, 11050000000, 
-1.9999419109078302, -0.5000009940254199, 8.566337336681481e-07, 11152000000, 
-1.9999419274010277, -0.500000994000195, 8.589718059640461e-07, 11254000000, 
-1.999941962727629, -0.5000009939806584, 8.602845583826332e-07, 11322000000, 
-1.9999419438205632, -0.5000009940665752, 8.630255115680574e-07, 11424000000, 
-1.9999418889333505, -0.5000009940826979, 8.661549082389835e-07, 11526000000, 
-1.9999419036218922, -0.5000009940460945, 8.676480352113661e-07, 11594000000, 
-1.9999419369810933, -0.5000009940578493, 8.698204196366504e-07, 11696000000, 
-1.999941917551433, -0.5000009940690237, 8.717715504171027e-07, 11764000000, 
-1.9999418765510153, -0.5000009941254299, 8.747007021609591e-07, 11866000000, 
-1.999941899470122, -0.5000009941381008, 8.761268640262777e-07, 11934000000, 
-1.999941902026217, -0.5000009940287589, 8.777877372826884e-07, 12002000000, 
-1.9999418641246784, -0.5000009941405756, 8.798710064341138e-07, 12070000000, 
-1.9999418776496563, -0.5000009941244608, 8.822717352896358e-07, 12172000000, 
-1.999941901881073, -0.5000009941236229, 8.836972240153926e-07, 12240000000, 
-1.9999418609133184, -0.5000009941755825, 8.86659954956515e-07, 12342000000, 
-1.9999418561349442, -0.5000009941096202, 8.892379324205272e-07, 12444000000, 
-1.9999418763512193, -0.5000009941502762, 8.907102532850527e-07, 12512000000, 
-1.9999418365417923, -0.5000009942027205, 8.936579010531663e-07, 12614000000, 
-1.9999418341370896, -0.500000994185744, 8.962432634881671e-07, 12716000000, 
-1.9999418597857586, -0.5000009941797384, 8.976084408745705e-07, 12784000000, 
-1.9999418209283384, -0.500000994231902, 9.005579377520565e-07, 12886000000, 
-1.9999418063158168, -0.5000009942460317, 9.024208103632845e-07, 12954000000, 
-1.999941819459734, -0.5000009942147637, 9.031437502282038e-07, 12988000000, 
-1.9999418457259155, -0.5000009942086526, 9.045042198428015e-07, 13056000000, 
-1.999941807784929, -0.5000009942606671, 9.074428646503073e-07, 13158000000, 
-1.999941793777477, -0.5000009942747059, 9.093004835600589e-07, 13226000000, 
-1.9999418281622976, -0.5000009942353776, 9.114536351162888e-07, 13328000000, 
-1.999941791260969, -0.5000009942877737, 9.143712200928277e-07, 13430000000, 
-1.9999417779398758, -0.5000009943019875, 9.16205366185342e-07, 13498000000, 
