pos_x, pos_y, pos_theta, stamp, 
1.7763568394002505e-15, 1.7763568394002505e-15, 4.037616361610026e-11, 1701295511484701234, 
1.7763568394002505e-15, 1.7763568394002505e-15, 3.969425507094667e-11, 1701295511576799682, 
1.7763568394002505e-15, 1.7763568394002505e-15, 3.9542525777171674e-11, 1701295511676459413, 
1.7763568394002505e-15, 1.7763568394002505e-15, 3.9362196912261846e-11, 1701295511786680098, 
1.7763568394002505e-15, 1.7763568394002505e-15, 3.9204805151230445e-11, 1701295511884678673, 
1.7763568394002505e-15, 1.7763568394002505e-15, 3.88907757060993e-11, 1701295511934707234, 
1.7763568394002505e-15, 1.7763568394002505e-15, 3.8989690051914936e-11, 1701295512237685503, 
1.7763568394002505e-15, 1.7763568394002505e-15, 3.9192591138288067e-11, 1701295512285686478, 
1.7763568394002505e-15, 1.7763568394002505e-15, 3.9874225605150424e-11, 1701295512376743805, 
1.7763568394002505e-15, 1.7763568394002505e-15, 4.0529838839288926e-11, 1701295512478383526, 
1.7763568394002505e-15, 1.7763568394002505e-15, 4.1900522578166287e-11, 1701295512587031704, 
1.7763568394002505e-15, 1.7763568394002505e-15, 4.312874861968228e-11, 1701295512685177252, 
1.7763568394002505e-15, 1.7763568394002505e-15, 4.3707269929053764e-11, 1701295512778217793, 
0.0007799104787409306, -0.0002810759760905057, 0.007278672184798995, 1701295512878056917, 
0.009489193558692932, 6.847747135907412e-05, 0.05094020734618546, 1701295512988119847, 
0.01959402672946453, 0.0005847906577400863, 0.10200063755270405, 1701295513085114795, 
0.028857946395874023, 0.0013785121263936162, 0.1421600470062955, 1701295513178282103, 
0.03850523382425308, 0.0028042481280863285, 0.19321585769280092, 1701295513278868522, 
0.04840553551912308, 0.0047609442844986916, 0.24641498549782764, 1701295513387403766, 
0.05778774619102478, 0.0071812579408288, 0.29680177372556404, 1701295513486385145, 
0.06601577252149582, 0.009302540682256222, 0.3439686363734338, 1701295513577805996, 
0.07503952085971832, 0.012399719096720219, 0.39470841475127716, 1701295513676553686, 
0.08495302498340607, 0.016579674556851387, 0.4508034146031886, 1701295513787281601, 
0.09354325383901596, 0.020564913749694824, 0.5014653621096425, 1701295513885940684, 
0.10124305635690689, 0.02480129525065422, 0.5466634672528558, 1701295513977801056, 
0.10932229459285736, 0.029839087277650833, 0.5951852446903706, 1701295514076607740, 
0.11812799423933029, 0.03568912670016289, 0.6520081116498319, 1701295514186834459, 
0.12602894008159637, 0.04168698936700821, 0.7012448171630367, 1701295514285952057, 
0.13287608325481415, 0.047215789556503296, 0.7483162094385352, 1701295514377817115, 
0.14001543819904327, 0.053686413913965225, 0.7986702343281638, 1701295514476090629, 
0.14732150733470917, 0.06101341173052788, 0.8531843039920507, 1701295514587759948, 
0.1535632461309433, 0.06816345453262329, 0.9033957323634344, 1701295514686713908, 
0.15915291011333466, 0.07511251419782639, 0.9484561691374176, 1701295514777815785, 
0.1647842526435852, 0.0830284059047699, 0.9984288395391598, 1701295514876708245, 
0.17053712904453278, 0.09180320799350739, 1.0497603275962724, 1701295514986767440, 
0.17530198395252228, 0.10019023716449738, 1.0922299535272952, 1701295515087810493, 
0.17938649654388428, 0.1077181026339531, 1.128929422206099, 1701295515176887006, 
0.1844787746667862, 0.11697603017091751, 1.1225136159980535, 1701295515276695040, 
0.18841172754764557, 0.1250888705253601, 1.0528823704989367, 1701295515387962231, 
0.19321565330028534, 0.1327560395002365, 1.014578175372815, 1701295515486723507, 
0.1979764997959137, 0.13974624872207642, 0.9720942417086325, 1701295515576914429, 
0.2034759819507599, 0.1470932960510254, 0.91565897517, 1701295515676780422, 
0.2110108733177185, 0.1560482531785965, 0.8230652579505452, 1701295515788773258, 
0.21593362092971802, 0.16078081727027893, 0.7750323154208197, 1701295515836773054, 
0.2270633578300476, 0.17110025882720947, 0.6632213285576074, 1701295515937111330, 
0.23698078095912933, 0.17885145545005798, 0.5736040236069643, 1701295516028484889, 
0.2462882399559021, 0.18478608131408691, 0.499485046128231, 1701295516137796188, 
0.25426527857780457, 0.18886403739452362, 0.4385912589478034, 1701295516236778702, 
0.2667617201805115, 0.1945224404335022, 0.3514554917975741, 1701295516376918424, 
0.2797378897666931, 0.19872504472732544, 0.2688365005264261, 1701295516477282392, 
0.2961343228816986, 0.20289023220539093, 0.14900529727668302, 1701295516587784370, 
